elapsed_s,status_code,allowed,degraded,latency_ms
1,200,true,false,36.20
2,200,true,false,0.65
3,200,true,false,2.06
4,200,true,false,6.11
5,200,true,false,2.62
6,200,true,false,2.35
7,200,true,false,6.45
8,200,true,false,3.57
9,429,false,false,9.66
10,200,true,false,3.04
11,429,false,false,1.56
12,200,true,false,6.42
13,429,false,false,3.99
14,200,true,false,4.60
15,429,false,false,6.87
16,200,true,false,5.64
17,429,false,false,2.39
18,200,true,false,1009.94
19,200,true,false,1005.38
20,200,true,false,1007.43
21,429,false,false,7.17
22,200,true,false,4.72
23,429,false,false,13.10
24,200,true,false,8.52
25,429,false,false,4.42
26,200,true,false,4.06
27,200,true,false,1002.25
28,429,false,false,4.28
29,429,false,false,3.31
30,200,true,false,3.25
31,429,false,false,3.06
32,200,true,false,9.46
33,200,true,false,1004.76
34,429,false,false,2.76
35,429,false,false,4.83
36,200,true,false,6.48
37,429,false,false,8.39
38,200,true,false,4.50
39,429,false,false,6.56
40,200,true,false,3.34
41,429,false,false,1.09
42,200,true,false,3.71
43,429,false,false,2.23
44,200,true,false,4.91
45,429,false,false,4.52
46,200,true,false,3.35
47,429,false,false,4.73
48,200,true,false,2.18
49,429,false,false,3.21
50,200,true,false,2.53
51,200,true,false,6.33
52,200,true,false,4.60
53,200,true,false,4.34
54,200,true,false,2.98
55,200,true,false,3.12
56,200,true,false,5.34
57,200,true,false,0.52
58,200,true,false,3.20
59,200,true,false,7.25
60,429,false,false,4.88
